time,start_slot,total_slots,total_txs,total_valid_txs,average_txs_per_slot,average_valid_txs_per_slot,total_cross_block_detection_times,average_txs_per_cross_block_times,average_valid_txs_per_cross_block_times,average_swap_txs_per_cross_block_times,average_buckets_per_cross_block_times,average_tx_in_buckets_per_cross_block_times,average_inblock_time,average_crossblock_time,average_old_inblock_time,average_old_crossblock_time,average_fetch_time,average_process_time
2025-11-01T15:24:06.725Z,377235273,1003,1285215,310129,1281,309,251,7065,1703,607,380,790,2.672981057,41.9112662,4.632103689,145.2590397,97.96410768,49.21734796
2025-11-01T15:27:09.202Z,377236276,1000,1253739,292090,1253,292,250,6942,1622,590,353,737,1.836,40.128,4.283,187.2202876,84.314,46.249
2025-11-01T15:30:15.941Z,377237276,1000,1268492,296327,1268,296,248,7046,1647,589,351,737,2.311,42.277,4.206,153.8875482,86.047,48.795
2025-11-01T15:33:20.283Z,377238280,1004,1279640,303848,1274,302,250,7034,1669,591,347,733,2.185258964,43.2559761,4.459163347,176.5332771,81.62948207,49.90239044
2025-11-01T15:36:27.738Z,377239284,1000,1286795,314137,1286,314,248,7159,1750,555,337,696,1.899,44.732,4.178,196.8302222,84.746,50.811
2025-11-01T15:39:31.792Z,377240300,1000,1274191,310475,1274,310,249,7044,1710,588,356,740,2.329,41.758,4.65,166.7451267,82.63,48.738
2025-11-01T15:42:32.455Z,377241300,1000,1270461,300134,1270,300,248,7029,1663,580,353,728,2.092,41.048,4.308,169.0581109,81.265,47.449
2025-11-01T15:45:38.903Z,377242300,1000,1287272,315447,1287,315,250,7206,1765,624,390,809,2.52,43.692,4.915,170.4334762,83.402,51.128
2025-11-01T15:48:40.530Z,377243300,1000,1309417,325633,1309,325,249,7270,1810,574,377,745,2.197,40.091,4.646,169.561025,82.826,46.935
2025-11-01T15:54:24.620Z,377244300,1000,1267323,301710,1267,301,248,7037,1675,547,349,704,2.495,41.417,4.087,135.6884,86.637,48
2025-11-01T16:01:10.175Z,377245304,1004,1285868,305990,1280,304,252,7066,1682,567,367,738,1.922310757,41.83864542,4.510956175,196.3598188,85.74501992,48.27290837
2025-11-01T16:07:55.089Z,377246308,1000,1245428,289396,1245,289,249,6878,1601,525,329,660,1.912,40.599,3.818,162.1411946,75.16,46.33
2025-11-01T16:14:37.076Z,377247309,1007,1260291,296945,1251,294,252,6896,1618,524,341,674,2.268123138,40.20556107,3.766633565,133.5373845,80.591857,46.24230387
2025-11-01T16:21:21.443Z,377248320,1004,1238444,287929,1233,286,250,6850,1593,509,319,628,1.784860558,38.77888446,3.693227092,160.4822585,72.52689243,44.25796813
2025-11-01T16:28:03.967Z,377249328,1004,1227227,275718,1222,274,251,6757,1517,535,334,669,2.329681275,39.05478088,3.733067729,125.1623076,76.32270916,45.1185259
2025-11-01T16:34:48.800Z,377250340,1000,1218696,273820,1218,273,250,6693,1501,530,326,681,2.066,37.743,3.939,143.9203069,73.983,43.75
2025-11-01T16:41:30.000Z,377251340,1000,1265455,301302,1265,301,249,7014,1673,551,355,728,2.215,42.251,4.322,164.8838122,88.213,48.791
2025-11-01T16:48:14.899Z,377252341,1007,1286044,315562,1277,313,251,7060,1741,634,362,809,2.046673287,38.1082423,5.112214499,190.3748,84.51142006,45.26812314
2025-11-01T16:54:53.849Z,377253348,1000,1259864,305458,1259,305,250,6996,1695,658,360,817,2.382,40.293,5,169.1561713,80.67,47.676
2025-11-01T17:01:33.120Z,377254356,1000,1229751,284758,1229,284,250,6770,1565,556,330,683,1.855,38.425,4.248,175.9885714,77.323,44.53
2025-11-01T17:08:14.394Z,377255356,1000,1246996,293067,1246,293,247,6939,1631,565,342,713,2.431,41.551,4.076,139.335151,89.064,48.06
2025-11-01T17:14:55.976Z,377256356,1000,1228576,277967,1228,277,249,6823,1541,492,314,627,2.057,36.836,3.365,120.5183666,82.286,42.26
2025-11-01T17:21:41.703Z,377257356,1000,1230625,271897,1230,271,250,6799,1503,519,311,649,2.207,38.86,3.562,125.4366289,77.606,44.63
2025-11-01T17:28:27.955Z,377258359,1005,1241263,276449,1235,275,248,6843,1516,527,309,657,2.610945274,39.73631841,3.926368159,119.5118235,85.08557214,46.27462687
2025-11-01T17:35:04.944Z,377259364,1000,1248838,290672,1248,290,247,6948,1618,542,325,679,2.511,40.323,3.982,127.8902318,82.739,46.817
2025-11-01T17:41:39.108Z,377260364,1000,1247544,295474,1247,295,248,6911,1640,496,305,628,2.295,41.003,3.578,127.8507486,79.797,46.877
2025-11-01T17:48:21.362Z,377261364,1000,1228648,281307,1228,281,249,6783,1558,519,318,651,2.604,40.744,3.731,116.7556559,78.121,47.082
2025-11-01T17:55:03.902Z,377262372,1000,1273762,316083,1273,316,250,7021,1745,581,348,718,2.576,47.304,4.541,166.7759814,80.35,54.423
2025-11-01T18:01:48.690Z,377263372,1000,1242396,290067,1242,290,250,6840,1602,550,336,679,2.264,40.508,4.09,146.3584099,77.71,46.865
2025-11-01T18:08:41.111Z,377264381,1007,1266312,307745,1257,305,251,6942,1687,553,328,699,2.416087388,44.08639523,4.502482622,164.3137822,79.43495531,51.00595829
2025-11-01T18:15:23.539Z,377265388,1000,1241964,298497,1241,298,247,6891,1658,544,319,668,2.434,39.435,4.017,130.1646631,82.717,45.886
2025-11-01T18:22:00.377Z,377266388,1000,1244943,297132,1244,297,250,6855,1634,550,321,670,2.218,38.229,4.031,138.9550036,81.767,44.48
2025-11-01T18:28:37.994Z,377267388,1000,1273746,309340,1273,309,248,7057,1716,568,332,712,2.542,42.982,4.473,151.2655279,83.476,49.998
2025-11-01T18:35:19.155Z,377268388,1000,1247752,301199,1247,301,250,6923,1677,527,321,650,2.285,46.066,4.001,161.3217208,81.391,52.354
2025-11-01T18:41:58.292Z,377269388,1000,1259916,305340,1259,305,250,6940,1684,551,326,681,2.238,43.311,4.27,165.2707507,81.936,49.821
2025-11-01T18:48:33.215Z,377270388,1000,1227986,290770,1227,290,250,6784,1608,542,331,669,2.591,41.611,4.259,136.7975677,79.107,48.462
2025-11-01T18:55:17.732Z,377271392,1004,1225712,285669,1220,284,251,6734,1568,541,328,666,2.355577689,39.36752988,3.893426295,130.1375681,77.71812749,45.61752988
2025-11-01T19:02:01.433Z,377272396,1000,1216383,283168,1216,283,248,6734,1570,544,312,661,2.517,42.212,3.771,126.4850632,74.914,48.502
2025-11-01T19:08:38.923Z,377273396,1000,1211581,275038,1211,275,250,6682,1522,523,303,639,2.039,38.18,3.732,139.7623933,73.306,43.957
