slot,front_sig,front_signer_site,front_sell_amount_site,front_buy_amount_site,back_sig,back_signer_site,back_sell_amount_site,back_buy_amount_site,front_signer_db,front_sell_amount_db,front_buy_amount_db,back_signer_db,back_sell_amount_db,back_buy_amount_db,status,same_signer,profit,relative_amount_diff,,,,,
377204884,5toC9zSpdJxYqRyzzvor5oA9pudzEgzpxjT3LMEHMu3W7BrgSzCtNuvX9hR9y46Za7drcUYRgZYhAEReUK7fn8Dj,RZZU6W,84762.925,0.549,2JtkVUVSnAkSBim95me6xQQiBkMPVQzQ4Fv7Ttdx4P779FnqHnwxjRhCJt6UgUzLwDebriJh3VKb9mFSCdnkiBJG,RZZU6W,0.334,87386.11,nan,0,0,nan,0,0,site_only,TRUE,2623.185,0.391621129,,,,,
377207780,2FPhQk53FhR4gNBqymAVsyRkVCKngng4miV4ER3QdL1vSkbuxM3Rd4VTr4bM3YpQmm3VnRvfB9SCUtxc1Z9wVeEe,9VQV7H,382376.89,1.104,5UJSq97wfMi4scfFyyUTTWxZeJEhEoBvMALUQf3WLAdVgnTVkQdG6ZprghYvUwRQ4RUDTgVYo8GkLUFGvQteuKui,9VQV7H,0.765,4408223.9,nan,0,0,nan,0,0,site_only,TRUE,4025847.01,0.307065217,,,,,
377225336,5bEamjNQRCKojinuZfa6cu3NLF2E5NqmdkoJAe7QeuFtSJzpGJCUbwtqr9RtTLxtipCW857Y6j5MJRiDoU96LsTK,7AwWaS,7875.96,0.0267,5noRLp2XUYxnV3QgPKSnYJq6PfCKdjotW7ToUNS8FV5k1WkzrgbaubarWg198HneswYaS8WgyZyooduSzsLFXWRE,7AwWaS,0.0174,109969.75,nan,0,0,nan,0,0,site_only,TRUE,102093.79,0.348314607,,,,,
377231309,JaUjdDrCpb6uWRpoYASdJoUuVYWBtLPQ1YMZd8V6sZRSFEgaKotcnfbvKsofiZN9bDQbKsD2D9d4WhKwMGRdf6L,HuTshm,1.00E-06,4343968.6,5mwqgv2b3hKqUPRjkkjXxsR6DcAWEd5JfH4ooY9CMzYVh5c8qC4hzZZYyfNHZe1m5byeM5Spw6nc9Ef7cvWabrym,HuTshm,2869.09,3.90E-05,nan,0,0,nan,0,0,site_only,TRUE,3.80E-05,0.999339523,,,,,
377231941,4iz5ZwALAhgy1tJ2R44yyoqzJVKhNHGg3ufYG1CEJfFMHwMWCjzp8py9BNfJj4N1FBZFdvQQtnCKuvg8YqdWzZDQ,4LrM9v,0.988,34199203,37MFH8qFNCbSbXpTXrYUsTb8MAbAt57Bi1S7izEnxFaFuVu459otN1fsvq5XqgFcFFEjujU59Rs8ZCRxFij74bkm,4LrM9v,34199203,1.08,nan,0,0,nan,0,0,site_only,TRUE,0.092,0,,,,,
377232506,4DkxPfn6AJrWv2tBVGZN1QzbbPcV94YMnnvAWATNQSVgZQmMqr7E26GHq4cVuth1jXSw3rgHZAe1xfywdsW8p6JR,CxdRj2,188719.21,1.489,56g71nN7baVFNbGyDj9dEqpkhq5Sh4jRRSeSGJRqSp9HWXt4S9f3c449mzeHs2bP4adfBVWb54zagStFSAwLCVaq,CxdRj2,1.376,208377.13,nan,0,0,nan,0,0,site_only,TRUE,19657.92,0.075889859,,,,,
377232884,3UpgnB7VU184m3m7c88qtAuiQs18USsjt2Dcc8pY4QPJJ5s152HNzm1TL1u2DhmmBVBvXHtc3EryUWWfd3BkP9Jj,5FHCvX,360024.17,1.851,2yNDELUZUazQpEECBo4BTfwSo5kXTvTcJbkgfs68AJK1iv3etTBdoveGdaGd6keG32CM8MxuTXwmVCemYn8JX67M,5FHCvX,1.553,366374.04,nan,0,0,nan,0,0,site_only,TRUE,6349.87,0.160994057,,,,,
377232982,3kZjRUR9gc7JAJCffuu6CBJfF1hmXfqcmqNgNAnVL2hW9wWgCUqFjc1XTehxJFbMBZ2zzNo9JJNYcx5sHFJhswcG,87LkmH,1270788.3,2.198,35Sth8eWM6cezMwMxQeu6RrM98LvCyVy5iF5ykkXyFMWYMbYPxMFYnu4zCgFkpGEsREAsYUpNcAD4LSqYdRcFM6q,87LkmH,2.018,1542928.2,nan,0,0,nan,0,0,site_only,TRUE,272139.9,0.08189263,,,,,
377234164,3T9AzFL52qNw7p4g6GmnJ4ntpjCZoF5VWxQ79B5qexSQSopv3uoiYkQPmwMCDBqb4ZtzUXahDDtdMLdFNDSDkF3C,D9FztM,46936.84,0.675,2WmN7QKty2Vf2Tjd3PsHwrRCPpsTJyYrHDwPrNhFCAS8LnHDaDYDAmicY5MFXBMj7SuQKB98CuJfA11bzZzjnXzS,D9FztM,0.438,4078981.4,nan,0,0,nan,0,0,site_only,TRUE,4032044.56,0.351111111,,,,,
377234215,5RtK9s9mbijyVrTASn9SMpKRV4bwzgHdnRsaWt1xRpARzoEK6K7xooY6rhb3rNzFopdwb7wpKwzkkAYcAYYLpqAH,6z7x1E,0.988,34199203,Xhz2hN43Hz8MQ2vSU73A4iBndHAD8qqrJySLjRiXjksa6yuutDTiDGqZoAZnqgfdZ7oZkhDcKAUYYGBDJ3VQ8rR,6z7x1E,34199203,1.051,nan,0,0,nan,0,0,site_only,TRUE,0.063,0,,,,,
377234279,2o7C3tRBpy46Kys2kFrybGCw5kn8NEr49tqcdShLg6jusYnzZCGw6aDCvxtSPUkuQMPkMrb4t73ir4vB1WKxoDvz,CWDPhk,0.988,34199203,5JojHsM4htN3dPThYrCDoaVSqgNyjSQWE8PLmGqrrPryQ66v6urrRZ3nzHRg35dBXDwy3HuHUu3o21oNT37Ac2on,CWDPhk,34199203,1.185,nan,0,0,nan,0,0,site_only,TRUE,0.197,0,,,,,
377234732,2h96T4yM6rx1JAGjWTWvtaSVyFBkb8ranQzTrCKJXhvvgV8xd3zvVGiuvpzsQ68Ku8dcNtPaP6j7ZKc2DaLjMeqN,8F2ERX,1.797,16010.21,36yDxvZvTjAKY5b6W2a4d42CKaWQ39S2TLjDv5epwYT9xsTjkRrswt6Uucya6n1MAK2Z9Qm7DgTu54DMwALjH75A,8F2ERX,14860.962,1.968,nan,0,0,nan,0,0,site_only,TRUE,0.171,0.071782194,,,,,
377239120,3xiAR2W2adLG7z4rEwRHPdP3hkJrmmQNXze1xaD1NYdzwz8eT6vHFxN9ufyGE6w48WUzHqEtP58yuPq2VQD7jb5o,JD4fAf,549524.52,0.81,7gVadtqMEctbSPkKmgAEnvuBCXMr5XqhfvUnYtvdqM9TRF9n2A9uKr1EGCi1CPkFWaoj6EdzPp5fnTaPxMvSPLo,JD4fAf,0.768,5343855,nan,0,0,nan,0,0,site_only,TRUE,4794330.48,0.051851852,,,,,
